MUNICIPALITY NAME,NAME OF PERSON ELECTED - LAST NAME,NAME OF PERSON ELECTED - FIRST NAME,"NAME OF
OFFICE",NUMBER OF VOTES CAST FOR THE CANDIDATE,NUMBER OF VOTES CAST FOR THE OFFICE,ELECTED or ACCLAIMED?,DID CANDIDATE SERVE ON 2010-2014 COUNCIL? (YES / NO)
Mattawa T,BACKER,DEAN,MAYOR, -   , -   ,ACCLAIMED,YES
Mattawa T,LACELLE,COREY,LOCAL COUNCILLOR,444,"3,304",ELECTED,YES
Mattawa T,THIBERT,GARRY,LOCAL COUNCILLOR,421,"3,304",ELECTED,NO
Mattawa T,LAROSE,GARRY,LOCAL COUNCILLOR,395,"3,304",ELECTED,NO
Mattawa T,MICK,LORNE,LOCAL COUNCILLOR,362,"3,304",ELECTED,YES
Mattawa T,BASTIEN,CLIFFORD,LOCAL COUNCILLOR,352,"3,304",ELECTED,NO
Mattawa T,SARRAZIN,DEXTURE,LOCAL COUNCILLOR,325,"3,304",ELECTED,NO
Mattawan Tp,BELL,BEVERLY,LOCAL COUNCILLOR,59,320,ELECTED,YES
Mattawan Tp,PATTERSON,DOUGLAS,LOCAL COUNCILLOR,56,320,ELECTED,NO
Mattawan Tp,CURRAN,CAROLE,LOCAL COUNCILLOR,47,320,ELECTED,YES
Mattawan Tp,ARGO,JOHN,LOCAL COUNCILLOR,44,320,ELECTED,NO
Mattawan Tp,MURPHY,PETER,MAYOR, -   , -   ,ACCLAIMED,YES
Mattice - Val Cote Tp,BRIERE,MICHEL,MAYOR,144,282,ELECTED,YES
Mattice - Val Cote Tp,GRENIER,DANIEL,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Mattice - Val Cote Tp,LEMAY,RICHARD,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Mattice - Val Cote Tp,LEMIEUX,NORMAND,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Mattice - Val Cote Tp,MALENFANT,JOYCE,LOCAL COUNCILLOR,,,ACCLAIMED,NO
McDougall Tp,ROBINSON,DALE,MAYOR,"1,189","1,339",ELECTED,YES
McDougall Tp,DALEMAN,PETER,LOCAL COUNCILLOR,774,"4,587",ELECTED,YES
McDougall Tp,DIXON,KIM,LOCAL COUNCILLOR,949,"4,587",ELECTED,YES
McDougall Tp,GREGORY,LYNNE,LOCAL COUNCILLOR,755,"4,587",ELECTED,NO
McDougall Tp,MALOTT,LEWIS,LOCAL COUNCILLOR,798,"4,587",ELECTED,YES
McGarry Tp,LAPIONTE,CLERMONT,REEVE,206,436,ELECTED,YES
McGarry Tp,COTE,PAUL,LOCAL COUNCILLOR,247,436,ELECTED,NO
McGarry Tp,TOUPIN-KEFT,ANNIE,LOCAL COUNCILLOR,185,436,ELECTED,NO
McGarry Tp,CULHANE,BONITA,LOCAL COUNCILLOR,182,436,ELECTED,YES
McGarry Tp,FIC,ELAINE,LOCAL COUNCILLOR,162,436,ELECTED,YES
McKellar Tp,HOPKINS,PETER,REEVE,731,"1,512",ELECTED,YES
McKellar Tp,BEIER,BONNIE,LOCAL COUNCILLOR,763,"5,008",ELECTED,NO
McKellar Tp,HASKIM,MORLEY,LOCAL COUNCILLOR,649,"5,008",ELECTED,NO
McKellar Tp,KEKKONEN,MIKE,LOCAL COUNCILLOR,878,"5,008",ELECTED,NO
McKellar Tp,ZULAK,DEBBIE,LOCAL COUNCILLOR,781,"5,008",ELECTED,NO
McMurrich-Monteith Tp,GRIFFITHS,JOANNE,REEVE,305,676,ELECTED,NO
McMurrich-Monteith Tp,ARMSTRONG,CAROL,LOCAL COUNCILLOR,303,676,ELECTED,YES
McMurrich-Monteith Tp,O'HALLORAN,DANIEL,LOCAL COUNCILLOR,317,676,ELECTED,NO
McMurrich-Monteith Tp,STRICKLAND,CLIFFORD,LOCAL COUNCILLOR,305,676,ELECTED,NO
McMurrich-Monteith Tp,WALTON,RON,LOCAL COUNCILLOR,315,676,ELECTED,NO
Moonbeam Tp,AUDET,GILLES,MAYOR,460,836,ELECTED,YES
Moonbeam Tp,FORTIER-LEVESQUE,NICOLE,LOCAL COUNCILLOR,418,855,ELECTED,NO
Moonbeam Tp,HACHEZ,GHISLAIN,LOCAL COUNCILLOR,378,855,ELECTED,YES
Moonbeam Tp,LEONARD,LUC,LOCAL COUNCILLOR,502,855,ELECTED,NO
Moonbeam Tp,TURCOTTE,MURIELLE,LOCAL COUNCILLOR,409,855,ELECTED,YES
Moosonee T,TAIPALE,WAYNE,MAYOR,260,388,ELECTED,NO
Moosonee T,AUGER,JOHN,LOCAL COUNCILLOR,201,"1,463",ELECTED,NO
Moosonee T,BUTCHER,GORDON,LOCAL COUNCILLOR,199,"1,463",ELECTED,NO
Moosonee T,TOZER,CARMAN,LOCAL COUNCILLOR,273,"1,463",ELECTED,NO
Moosonee T,UISELT,LUCILLE,LOCAL COUNCILLOR,229,"1,463",ELECTED,NO
Nairn and Hyman Tp,FALLDIEN,LAURIER,MAYOR,150,204,ELECTED,YES
Nairn and Hyman Tp,GINGRAS,BRIGITA,LOCAL COUNCILLOR,150,204,ELECTED,YES
Nairn and Hyman Tp,MACDONALD,ROD,LOCAL COUNCILLOR,133,204,ELECTED,YES
Nairn and Hyman Tp,MARTEL,CHARLENE,LOCAL COUNCILLOR,127,204,ELECTED,YES
Nairn and Hyman Tp,WIGZELL,RIET,LOCAL COUNCILLOR,108,204,ELECTED,NO
Nipissing Tp,HAUFE,PAT,MAYOR,,,ACCLAIMED,YES
Nipissing Tp,BUTLER,TOM,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Nipissing Tp,CULHAM,DOUGAL,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Nipissing Tp,PIPER,TOM,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Nipissing Tp,SMITH,LIZ,LOCAL COUNCILLOR,,,ACCLAIMED,YES
North Bay C,MCDONALD,AL,MAYOR,"12,636","15,000",ELECTED,YES
North Bay C,FORGETTE,SHELDON,LOCAL COUNCILLOR,"8,098","81,609",ELECTED,NO
North Bay C,VREBOSCH,TANYA G.,LOCAL COUNCILLOR,"7,450","81,609",ELECTED,YES
North Bay C,KING,MARK R.,LOCAL COUNCILLOR,"6,898","81,609",ELECTED,YES
North Bay C,MAYNE,CHRIS,LOCAL COUNCILLOR,"6,274","81,609",ELECTED,YES
North Bay C,SHOGREN,DEREK,LOCAL COUNCILLOR,"5,907","81,609",ELECTED,NO
North Bay C,ANTHONY,MIKE,LOCAL COUNCILLOR,"5,835","81,609",ELECTED,YES
North Bay C,VAILLANCOURT,DARYL,LOCAL COUNCILLOR,"5,570","81,609",ELECTED,YES
North Bay C,BAIN,MAC,LOCAL COUNCILLOR,"5,458","81,609",ELECTED,YES
North Bay C,MAROOSIS,GEORGE,LOCAL COUNCILLOR,"5,135","81,609",ELECTED,YES
North Bay C,SERRAN,JEFF J.,LOCAL COUNCILLOR,"5,117","81,609",ELECTED,NO
Northeastern Manitoulin & The Isl. T,MACNEVIN,AL,MAYOR,,,ACCLAIMED,YES
Northeastern Manitoulin & The Isl. T,COOK,LAURIE,LOCAL COUNCILLOR,87,,ELECTED,NO
Northeastern Manitoulin & The Isl. T,ERSKINE,MIKE,LOCAL COUNCILLOR,278,,ELECTED,YES
Northeastern Manitoulin & The Isl. T,KOEHLER,WILLIAM,LOCAL COUNCILLOR,454,,ELECTED,YES
Northeastern Manitoulin & The Isl. T,PETERS,MELISSA,LOCAL COUNCILLOR,262,,ELECTED,YES
Northeastern Manitoulin & The Isl. T,GAUTHIER,MARCEL,LOCAL COUNCILLOR,113,,ELECTED,YES
Northeastern Manitoulin & The Isl. T,ORR,DAWN,LOCAL COUNCILLOR,313,,ELECTED,YES
Northeastern Manitoulin & The Isl. T,SKIPPEN,PAUL,LOCAL COUNCILLOR,366,,ELECTED,YES
Northeastern Manitoulin & The Isl. T,WOOD,BRUCE,LOCAL COUNCILLOR,331,,ELECTED,YES
Opasatika Tp,NOLET ,DONALD,MAYOR,125,178,ELECTED,NO
Opasatika Tp,DUFOUR,NICOLE,LOCAL COUNCILLOR,79,178,ELECTED,NO
Opasatika Tp,HUARD,WILLIAM,LOCAL COUNCILLOR,89,178,ELECTED,NO
Opasatika Tp,LALLIER,LINDA,LOCAL COUNCILLOR,83,178,ELECTED,YES
Opasatika Tp,PINEAULT,ALAIN,LOCAL COUNCILLOR,81,178,ELECTED,NO
Papineau-Cameron Tp,CORRIVEAU,ROBERT,MAYOR,,,ACCLAIMED,YES
Papineau-Cameron Tp,BOULANGER,JEAN CLAUDE,LOCAL COUNCILLOR,199,365,ELECTED,YES
Papineau-Cameron Tp,FRASER,SHELLEY,LOCAL COUNCILLOR,208,365,ELECTED,YES
Papineau-Cameron Tp,NEAULT,ALVINA,LOCAL COUNCILLOR,196,365,ELECTED,YES
Papineau-Cameron Tp,THERRIEN,LAURIER,LOCAL COUNCILLOR,237,365,ELECTED,NO
Parry Sound T,MCGARVEY,JAMIE,MAYOR,"1,636","2,405",ELECTED,YES
Parry Sound T,BORNEMAN,PAUL,LOCAL COUNCILLOR,"1,615","2,405",ELECTED,YES
Parry Sound T,HORNE,BRAD,LOCAL COUNCILLOR,"1,347","2,405",ELECTED,YES
Parry Sound T,KEITH,BONNIE,LOCAL COUNCILLOR,"1,660","2,405",ELECTED,YES
Parry Sound T,MARSHALL,JIM,LOCAL COUNCILLOR,"1,238","2,405",ELECTED,NO
Parry Sound T,MCCANN,DOUG,LOCAL COUNCILLOR,966,"2,405",ELECTED,NO
Parry Sound T,SAULNIER,KEITH,LOCAL COUNCILLOR,"1,197","2,405",ELECTED,YES
Perry Tp,HOFSTETTER,NORM,MAYOR,639,946,ELECTED,YES
Perry Tp,CUSHMAN,JIM,LOCAL COUNCILLOR,716,"3,022",ELECTED,YES
Perry Tp,MACPHAIL,MARGARET ANN,LOCAL COUNCILLOR,596,"3,022",ELECTED,NO
Perry Tp,MARSHALL,JEFFEREY,LOCAL COUNCILLOR,600,"3,022",ELECTED,NO
Perry Tp,ROWLEY,LESLIE GARNET,LOCAL COUNCILLOR,627,"3,022",ELECTED,YES
Plummer Additional Tp,WEST,BETH,MAYOR, -   , -   ,ACCLAIMED,YES
Plummer Additional Tp,STRUM,TASHA,LOCAL COUNCILLOR,166,800,ELECTED,NO
Plummer Additional Tp,JONES,MKE,LOCAL COUNCILLOR,149,800,ELECTED,NO
Plummer Additional Tp,KOEHLER,BORIS,LOCAL COUNCILLOR,143,800,ELECTED,NO
Plummer Additional Tp,MACKENZIE,CARL,LOCAL COUNCILLOR,124,800,ELECTED,YES
Powassan M,MCISAAC,PETER,MAYOR,789,"1,484",ELECTED,YES
Powassan M,BRITTON,DAVE,LOCAL COUNCILLOR,679,"4,332",ELECTED,YES
Powassan M,GLABB,ROGER,LOCAL COUNCILLOR,703,"4,332",ELECTED,YES
Powassan M,WAND,MARKUS,LOCAL COUNCILLOR,771,"4,332",ELECTED,YES
Powassan M,WEILER,TED,LOCAL COUNCILLOR,911,"4,332",ELECTED,YES
Prince Tp,LAMMING,KEN,REEVE,310,562,ELECTED,YES
Prince Tp,AMADIO,DAVE,LOCAL COUNCILLOR,417,565,ELECTED,NO
Prince Tp,PALUMBO,ENZO,LOCAL COUNCILLOR,354,565,ELECTED,NO
Prince Tp,CHAMBERS,IAN,LOCAL COUNCILLOR,325,565,ELECTED,YES
Prince Tp,MATTHEWS,MICHAEL,LOCAL COUNCILLOR,213,565,ELECTED,NO
Ryerson Tp,MILLER,GLEN,REEVE,364,563,ELECTED,YES
Ryerson Tp,HALL,ROSALIND,LOCAL COUNCILLOR,239,"1,869",ELECTED,YES
Ryerson Tp,MARLOW,BARBARA,LOCAL COUNCILLOR,309,"1,869",ELECTED,YES
Ryerson Tp,STERLING,GEORGE,LOCAL COUNCILLOR,344,"1,869",ELECTED,YES
Ryerson Tp,WEDDEL,DOUG,LOCAL COUNCILLOR,262,"1,869",ELECTED,YES
Sables-Spanish Rivers Tp,CRABS-MIEDEMA,THOMA,LOCAL COUNCILLOR,395,690,ELECTED,NO
Sables-Spanish Rivers Tp,HNATUIK,PATRICIA,LOCAL COUNCILLOR,432,690,ELECTED,YES
Sables-Spanish Rivers Tp,HOBBS,HARRY,LOCAL COUNCILLOR,430,690,ELECTED,YES
Sables-Spanish Rivers Tp,SMITH,CHARLIE,LOCAL COUNCILLOR,327,690,ELECTED,YES
Sables-Spanish Rivers Tp,SONNENBURG,SUSAN,LOCAL COUNCILLOR,385,690,ELECTED,YES
Sables-Spanish Rivers Tp,STEWART,JAYSON,LOCAL COUNCILLOR,361,690,ELECTED,YES
Sables-Spanish Rivers Tp,GAMBLE,LESLIE (LES),MAYOR,,,ACCLAIMED,YES
Sault Ste. Marie C,PROVENZANO,CHRISTIAN,MAYOR,"12,534","24,468",ELECTED,NO
Sault Ste. Marie C,BUTLAND,STEPHEN,LOCAL COUNCILLOR,"3,087","8,824",ELECTED,YES
Sault Ste. Marie C,CHRISTIAN,PAUL,LOCAL COUNCILLOR,"2,840","8,824",ELECTED,YES
Sault Ste. Marie C,SHEEHAN,TERRY,LOCAL COUNCILLOR,"3,178","7,449",ELECTED,YES
Sault Ste. Marie C,MYERS,SUSAN,LOCAL COUNCILLOR,"2,481","7,449",ELECTED,YES
Sault Ste. Marie C,SHOEMAKER,MATTHEW,LOCAL COUNCILLOR,"2,705","7,009",ELECTED,NO
Sault Ste. Marie C,HUPPONEN,JUDY,LOCAL COUNCILLOR,"1,864","7,009",ELECTED,NO
Sault Ste. Marie C,TURCO,LOU,LOCAL COUNCILLOR,"1,575","5,482",ELECTED,YES
Sault Ste. Marie C,NIRO,RICK,LOCAL COUNCILLOR,"1,560","5,482",ELECTED,YES
Sault Ste. Marie C,BRUNI,MARCHY,LOCAL COUNCILLOR,"2,507","5,792",ELECTED,YES
Sault Ste. Marie C,FATA,FRANK,LOCAL COUNCILLOR,"2,026","5,792",ELECTED,YES
Sault Ste. Marie C,KRMPOTICH,JOE,LOCAL COUNCILLOR,"2,085","6,409",ELECTED,YES
Sault Ste. Marie C,ROMANO,ROSS,LOCAL COUNCILLOR,"1,643","6,409",ELECTED,NO
Seguin Tp,GIBBON,BRUCE,MAYOR,"3,021","3,681",ELECTED,YES
Seguin Tp,GRAVES,DALE,LOCAL COUNCILLOR,319,"3,681",ELECTED,NO
Seguin Tp,BUSZYNSKI,MARIO,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Seguin Tp,OSBORNE,ROD,LOCAL COUNCILLOR,491,"3,681",ELECTED,YES
Seguin Tp,SAINSBURY,DOUG,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Seguin Tp,COLLINS,TED,LOCAL COUNCILLOR,455,"3,681",ELECTED,NO
Seguin Tp,HEPWORTH,JACK,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Smooth Rock Falls T,ARSENEAULT,MICHEL,MAYOR,,,ACCLAIMED,YES
Smooth Rock Falls T,ALIE,DANIEL,LOCAL COUNCILLOR,359,"1,719",ELECTED,YES
Smooth Rock Falls T,BLAIS,MARC,LOCAL COUNCILLOR,327,"1,719",ELECTED,NO
Smooth Rock Falls T,PERRAS,SUE,LOCAL COUNCILLOR,321,"1,719",ELECTED,YES
Smooth Rock Falls T,LEMIEUX,JOHN,LOCAL COUNCILLOR,272,"1,719",ELECTED,NO
South Algonquin Tp,DUMAS,JANE,MAYOR,,,ACCLAIMED,YES
South Algonquin Tp,BROWN,JOHN,LOCAL COUNCILLOR,187,430,ELECTED,NO
South Algonquin Tp,SHALLA,RICHARD,LOCAL COUNCILLOR,133,180,ELECTED,YES
South Algonquin Tp,HARPER,DAVE,LOCAL COUNCILLOR,246,430,ELECTED,YES
South Algonquin Tp,FLORENT,JOE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
South Algonquin Tp,THORM,LINDA,LOCAL COUNCILLOR,,,ACCLAIMED,YES
South Algonquin Tp,RODNICK,BILL,LOCAL COUNCILLOR,,,ACCLAIMED,YES
South River V,COLEMAN,JIM,MAYOR,201,391,ELECTED,YES
South River V,BRANDT,TERI,LOCAL COUNCILLOR,210,394,ELECTED,NO
South River V,MAHON,LES,LOCAL COUNCILLOR,190,394,ELECTED,YES
South River V,SEWELL,DOUG,LOCAL COUNCILLOR,207,394,ELECTED,NO
South River V,SMITH,SHARON,LOCAL COUNCILLOR,280,394,ELECTED,YES
Spanish T,CLAGUE,TED,MAYOR,262,387,ELECTED,YES
Spanish T,BACON,RUTHANN,LOCAL COUNCILLOR,302,387,ELECTED,NO
Spanish T,BISHOP,JOCELYNE,LOCAL COUNCILLOR,298,387,ELECTED,YES
Spanish T,DIODATI,ANTHONY,LOCAL COUNCILLOR,257,387,ELECTED,YES
Spanish T,VON PICKARTZ,KAREN,LOCAL COUNCILLOR,317,387,ELECTED,YES
St. Joseph Tp,WILDMAN,JODY,MAYOR,399,759,ELECTED,YES
St. Joseph Tp,AELICK,LORRAINE,LOCAL COUNCILLOR,538,759,ELECTED,YES
St. Joseph Tp,CARDINAL,JOSEPH,LOCAL COUNCILLOR,501,759,ELECTED,YES
St. Joseph Tp,IBBITSON,BRUCE,LOCAL COUNCILLOR,453,759,ELECTED,YES
St. Joseph Tp,WIEDERKEHR,JOSEPH,LOCAL COUNCILLOR,551,759,ELECTED,YES
St.-Charles M,SCHOPPMANN,PAUL,MAYOR,766,865,ELECTED,YES
St.-Charles M,BELANGER,PHIL,LOCAL COUNCILLOR,413,"2,654",ELECTED,NO
St.-Charles M,LAFLEUR,JACKIE ,LOCAL COUNCILLOR,459,"2,654",ELECTED,YES
St.-Charles M,LEMIEUX,RICHARD,LOCAL COUNCILLOR,531,"2,654",ELECTED,NO
St.-Charles M,STANKOVICH,JAMES (JIM),LOCAL COUNCILLOR,450,"2,654",ELECTED,YES
Strong Tp,ELLIS,CHRISTINE,MAYOR,389,698,ELECTED,YES
Strong Tp,BLACKWELL,LES,LOCAL COUNCILLOR,367,698,ELECTED,NO
Strong Tp,COTTRELL,JASON,LOCAL COUNCILLOR,427,698,ELECTED,YES
Strong Tp,ELIK,KELLY,LOCAL COUNCILLOR,482,698,ELECTED,YES
Strong Tp,MCLAREN,JEFF,LOCAL COUNCILLOR,365,698,ELECTED,NO
Sundridge V,HALL,LYLE,MAYOR,374,538,ELECTED,YES
Sundridge V,BECKER,RUSSELL,LOCAL COUNCILLOR,283,538,ELECTED,NO
Sundridge V,JEFFERS,RYAN,LOCAL COUNCILLOR,385,538,ELECTED,NO
Sundridge V,NEWMAN,JASON,LOCAL COUNCILLOR,281,538,ELECTED,NO
Sundridge V,RICHARDSON,DONALD,LOCAL COUNCILLOR,241,538,ELECTED,NO
Tarbutt and Tarbutt Additional Tp,BURTON,CHRIS,MAYOR, -   , -   ,ACCLAIMED,YES
Tarbutt and Tarbutt Additional Tp,SMITH,LENNIE,LOCAL COUNCILLOR,177,243,ELECTED,NO
Tarbutt and Tarbutt Additional Tp,FLOOD,SARAH,LOCAL COUNCILLOR,171,243,ELECTED,NO
Tarbutt and Tarbutt Additional Tp,WIGMORE,RUTH,LOCAL COUNCILLOR,131,243,ELECTED,YES
Tarbutt and Tarbutt Additional Tp,FARRARQ,DAVID,LOCAL COUNCILLOR,115,243,ELECTED,NO
Tehkummah Tp,RUSSELL,ERIC,MAYOR,153,271,ELECTED,NO
Tehkummah Tp,BOWERMAN,PAUL,LOCAL COUNCILLOR,180,,ELECTED,YES
Tehkummah Tp,HIERONS,RON,LOCAL COUNCILLOR,157,,ELECTED,NO
Tehkummah Tp,LEE,LAIRD,LOCAL COUNCILLOR,128,,ELECTED,NO
Tehkummah Tp,LEESON,LORIE,LOCAL COUNCILLOR,124,,ELECTED,YES
Temagami M,HUNTER,LORI,MAYOR,692,"1,017",ELECTED,YES
Temagami M,HARDING,JOHN,LOCAL COUNCILLOR,576,"4,319",ELECTED,NO
Temagami M,KENRICK,JOHN,LOCAL COUNCILLOR,569,"4,319",ELECTED,YES
Temagami M,LOWREY,CAROL,LOCAL COUNCILLOR,557,"4,319",ELECTED,NO
Temagami M,O'MARA,DAN,LOCAL COUNCILLOR,504,"4,319",ELECTED,YES
Temagami M,BURROWS,DEBBY,LOCAL COUNCILLOR,479,"4,319",ELECTED,NO
Temagami M,KOSKI,BRIAN,LOCAL COUNCILLOR,433,"4,319",ELECTED,NO
Temiskaming Shores C,KIDD,CARMAN,MAYOR,"2,147","3,360",ELECTED,YES
Temiskaming Shores C,MCARTHUR,MIKE,LOCAL COUNCILLOR,"2,077","3,360",ELECTED,YES
Temiskaming Shores C,JELLY,DOUG,LOCAL COUNCILLOR,"2,060","3,360",ELECTED,YES
Temiskaming Shores C,LAFERRIERE,JEFF,LOCAL COUNCILLOR,"1,777","3,360",ELECTED,NO
Temiskaming Shores C,HEWITT,PATRICIA,LOCAL COUNCILLOR,"1,460","3,360",ELECTED,NO
Temiskaming Shores C,WHALEN,DANNY,LOCAL COUNCILLOR,"1,368","3,360",ELECTED,YES
Temiskaming Shores C,FOLEY,JESSE,LOCAL COUNCILLOR,"1,307","3,360",ELECTED,NO
The Archipelago Tp,KETCHUM,PETER,REEVE,,,ACCLAIMED,YES
The Archipelago Tp,FROST,PETER,LOCAL COUNCILLOR,,,ACCLAIMED,NO
The Archipelago Tp,FRENCH,GARY,LOCAL COUNCILLOR,,,ACCLAIMED,YES
The Archipelago Tp,WILLIAMS,KEN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
The Archipelago Tp,MEAD,IAN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
The Archipelago Tp,ANDREWS,GREG,LOCAL COUNCILLOR,274,"1,428",ELECTED,YES
The Archipelago Tp,LUNDY,TOM,LOCAL COUNCILLOR,257,"1,428",ELECTED,NO
The Archipelago Tp,CHRISTIE,TED,LOCAL COUNCILLOR,482,"1,428",ELECTED,YES
The Archipelago Tp,PEPPERELL,JOHN,LOCAL COUNCILLOR,452,"1,428",ELECTED,NO
The Archipelago Tp,ZANUSSI,RICK,LOCAL COUNCILLOR,430,"1,428",ELECTED,YES
The Archipelago Tp,WALKER,GRANT,LOCAL COUNCILLOR,180,"1,428",ELECTED,YES
The North Shore Tp,CONDI,RANDI,MAYOR,207,367,ELECTED,YES
The North Shore Tp,WILSON,BRENDA,LOCAL COUNCILLOR,,,ELECTED,YES
The North Shore Tp,KILFOYL,SANDRA,LOCAL COUNCILLOR,,,ACCLAIMED,NO
The North Shore Tp,BARTON,BARBARA,LOCAL COUNCILLOR,,,ACCLAIMED,YES
The North Shore Tp,ROBITAILLE,JOYCE,LOCAL COUNCILLOR,,,ACCLAIMED,NO
Thessalon T,ORLANDO,JAMES,MAYOR,509,547,ELECTED,YES
Thessalon T,ROSENBERG,BILL,LOCAL COUNCILLOR,401,"2,690",ELECTED,NO
Thessalon T,HAMILTON,KIMBERLY A.,LOCAL COUNCILLOR,378,"2,690",ELECTED,YES
Thessalon T,RANKIN,RANDY,LOCAL COUNCILLOR,315,"2,690",ELECTED,NO
Thessalon T,BIRD,JORDAN,LOCAL COUNCILLOR,300,"2,690",ELECTED,NO
Thessalon T,MCCOLMAN,DARLENE,LOCAL COUNCILLOR,252,"2,690",ELECTED,YES
Thessalon T,TETREAULT,BEN,LOCAL COUNCILLOR,251,"2,690",ELECTED,YES
Thornloe V,VOTTERO,RONALD,REEVE,,,ACCLAIMED,YES
Thornloe V,PEDDIE,ALLAN,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Thornloe V,PEDDIE,PAULINE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Thornloe V,THORPE,JUDITH,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Thornloe V,READ,EARL,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Timmins C,BLACK,STEVE,MAYOR,"8,802","13,630",ELECTED,YES
Timmins C,GREZELA,ANDRE,LOCAL COUNCILLOR,"1,024","2,635",ELECTED,NO
Timmins C,WAWRZASZEK,WALTER,LOCAL COUNCILLOR,594,"1,112",ELECTED,NO
Timmins C,CAMPBELL,JOE,LOCAL COUNCILLOR,423,822,ELECTED,NO
Timmins C,BAMFORD,PAT,LOCAL COUNCILLOR,583,"1,473",ELECTED,YES
Timmins C,RINALDO,NOELLA,LOCAL COUNCILLOR,"3,434","25,296",ELECTED,YES
Timmins C,DOODY,"MICHAEL ""J.J.""",LOCAL COUNCILLOR,"2,973","25,296",ELECTED,YES
Timmins C,MARKS,ANDREW,LOCAL COUNCILLOR,"2,720","25,296",ELECTED,YES
Timmins C,DUBEAU,RICK,LOCAL COUNCILLOR,"2,609","25,296",ELECTED,NO
Val Rita-Harty Tp,BARIL,JOHANNE,MAYOR,231,407,ELECTED,NO
Val Rita-Harty Tp,DANDENAULT,ALLAIN,LOCAL COUNCILLOR,260,407,ELECTED,YES
Val Rita-Harty Tp,MURRAY,ALAIN,LOCAL COUNCILLOR,253,407,ELECTED,NO
Val Rita-Harty Tp,LESSARD,CAROLE,LOCAL COUNCILLOR,240,407,ELECTED,NO
Val Rita-Harty Tp,TREMBLAY,ALAIN,LOCAL COUNCILLOR,229,407,ELECTED,YES
Wawa M,RODY,RON,MAYOR,"1,231","1,498",ELECTED,YES
Wawa M,BESNER,YVAN,LOCAL COUNCILLOR,796,"5,421",ELECTED,YES
Wawa M,CHIASSON,BILL,LOCAL COUNCILLOR,"1,131","5,421",ELECTED,YES
Wawa M,LIDDLE,TAMARA,LOCAL COUNCILLOR,957,"5,421",ELECTED,NO
Wawa M,NEUFELD,JAMES,LOCAL COUNCILLOR,904,"5,421",ELECTED,NO
West Nipissing M,SAVAGE,JOANNE,MAYOR,,,ACCLAIMED,YES
West Nipissing M,BRISSON,DENISE,LOCAL COUNCILLOR,425,733,ELECTED,YES
West Nipissing M,MALETTE,LÉO,LOCAL COUNCILLOR,651,971,ELECTED,YES
West Nipissing M,DUHAIME,YVON,LOCAL COUNCILLOR,388,838,ELECTED,NO
West Nipissing M,RESTOULE,JAMIE,LOCAL COUNCILLOR,485,970,ELECTED,YES
West Nipissing M,TESSIER,GUILLES,LOCAL COUNCILLOR,,267,ACCLAIMED,YES
West Nipissing M,LARABIE,ROLAND,LOCAL COUNCILLOR,326,641,ELECTED,NO
West Nipissing M,ROBERGE,NORMAND,LOCAL COUNCILLOR,,339,ACCLAIMED,YES
West Nipissing M,FORTIER,GUY,LOCAL COUNCILLOR,258,497,ELECTED,YES
White River Tp,BAZZONI,ANGELO,MAYOR,267,352,ELECTED,YES
White River Tp,GREENWOOD,TED,LOCAL COUNCILLOR,268,,ELECTED,NO
White River Tp,ST. LOUIS,RAYMOND,LOCAL COUNCILLOR,259,,ELECTED,NO
White River Tp,SEGUIN,LOUISE,LOCAL COUNCILLOR,144,,ELECTED,YES
White River Tp,SWAREK,RODNEY,LOCAL COUNCILLOR,229,,ELECTED,YES
Whitestone M,ARMSTRONG,CHRIS,MAYOR,751,"1,470",ELECTED,YES
Whitestone M,COMRIE,GEORGE,LOCAL COUNCILLOR,714,"1,400",ELECTED,NO
Whitestone M,DEACON,COLLETTE,LOCAL COUNCILLOR,524,"1,400",ELECTED,YES
Whitestone M,LAMB,JOE,LOCAL COUNCILLOR,766,"1,400",ELECTED,YES
Whitestone M,MCEWN,JOE,LOCAL COUNCILLOR,826,"1,400",ELECTED,NO
Alberton Tp,HAMMOND,MICHAEL,REEVE,,,ACCLAIMED,YES
Alberton Tp,FORD,MIKE,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Alberton Tp,JOHNSON,JENNIFER,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Alberton Tp,SPUZAK,PETER,LOCAL COUNCILLOR,,,ACCLAIMED,YES
Alberton Tp,WOODS,WAYNE,LOCAL COUNCILLOR,,,ACCLAIMED,NO
